CMO_NUMSTATES	CMO_SIZE	LEVEL	LOCALE15	PVI2017	PVI2014	RLAPROF_1516	MTHPROF_1516	ess_strength	prog_strength	SD_lv_PVI_2014	SD_lv_PVI_2017	POP_DENSE_SD	PCT_AGE65_SD	PCT_WHITE_SD	PCT_HSONLY_SD	PCT_BA_SD	PCT_UNEMPLOYED_SD	MEDIAN_INCOME	PER_CAPITA_INCOME	Gini Index	PCT_POVERTY_SD	PCT_CHILDPOV_SD	PCT_FROMABROAD_SD	PCT_FOREIGN_SD	PCT_NONCITIZEN_SD	PCT_NOINSURANCE_SD	close_rate15	close_rate16	MEMBER	TITLEI	FTE	YEAR_CLOSED	PCTETH	AGE	PCTFRL	PLACE	PROG_COUNT	RIT_COUNT	ESS_COUNT	ESS_STR	PROG_STR	RIT_STR	NUMWORDS	PROG_NORM	ESS_NORM	RIT_NORM	PCT_CHILDPOV_SAIPE16	high_ess	high_prog	high_both	low_both
		1	City (small)	0.0	-5.0	59.0	59.0	0.08333333333333333	0.3472222222222222	-5.0	0.0	430.8024	13.51	91.93	24.93	21.3	5.04	49784.0	27029.0	0.44799999999999995	7.08	15.02	0.3	3.59	1.78	6.87	0.0	0.0	290.0	No	-1.0		0.1296928327645051	13.0	0.29692832764505117	City	3	7	0	-6.0	-2.2471546148811266	-1.8775358825195554	531	0.7757849508628729	0.0	0.8435061747484757	0.12342526387470208	0	1	0	0
		4	City (large)	-40.0	-38.0	58.0	35.0	0.2777777777777778	0.4166666666666667	-38.0	-40.0																0.0	0.0	2135.0	Yes	109.0		0.40575673166202414	15.0	0.5255338904363974	City	2	3	0	-6.0	-2.0773679052841567	-1.9012766462284754	239	0.8108831125628339	0.0	0.838648526455843		0	1	0	0
1.0	206.0	1	City (large)	7.0	6.0	39.0	20.0	0.057142857142857134	0.2	6.0	7.0																0.0	0.0	60.0	Yes	-1.0		0.7708333333333334	11.0	1.25	City	5	5	0	-6.0	-1.9464522650130731	-1.9464522650130731	447	0.8379458804449342	0.0	0.8294050467536639		0	1	0	0
		1	Town (fringe)	16.0	18.0	34.0	39.0	0.09686179843089923	0.18014484007242004	18.0	16.0																0.0	0.0	412.0	Yes	-1.0		0.14887640449438203	3.0	0.6853932584269663	Town	4	8	0	-6.0	-1.8750612633917	-1.5754765086018998	303	0.8527037665290512	0.0	0.9053111874251953		0	1	0	0
1.0																											0.5	0.0						-1.0			1	1	0	-6.0	-1.9822712330395684	-1.9867717342662448	97	0.8305414143668538	0.0	0.8211551941634568		0	1	0	0
1.0		1	City (large)							-15.0	-17.333333333333332																0.0	0.0					0.9884615384615385	0.0		City	10	26	16	-2.0136270906068687	-2.217220655644519	-1.8017202511989363	1651	0.7819728730159108	0.8757918649413635	0.8590189727593122		0	0	1	0
		1	City (large)	-10.0	-6.0	76.0	65.0	0.1810008990110878	0.13515133353311354	-6.0	-10.0																0.0	0.0	398.0	Yes	34.33		0.8050632911392405	17.0	0.6506329113924051	City	371	884	432	-2.028433800746881	-2.0918138507962776	-1.7151806099909834	46130	0.8078968592059204	0.872538883702049	0.87672603330349		0	0	1	0
		4	City (large)	-38.0	-36.0	23.0	20.0	0.08823529411764706	0.2058823529411765	-27.174789915966386	-29.12605042016807	11938.74	11.24	48.68	22.95	21.79	10.94	50434.0	30846.0	0.5268	17.63	32.08	0.82	20.86	11.89	14.7	0.013445378151260505	0.00847457627118644	1913.0	Yes	109.45		0.9930666666666667	16.0	0.8592	City	4	17	4	-2.165095874754218	-2.164352855784437	-1.5344740632716145	585	0.7929016588591311	0.842514715019882	0.9137007852070725	0.26563276132495833	0	0	1	0
44.0	8789.0	3	City (large)	-21.0	-18.0	44.0	19.0	0.14754098360655735	0.08196721311475409	-13.845771144278608	-16.238805970149254	4335.309	10.86	76.95	17.63	27.98	5.39	56258.0	36616.0	0.5008	12.21	24.96	0.69	15.86	10.51	13.0	0.01492537313432836	0.009708737864077669	361.0	Yes	28.73		0.9947368421052631	6.0	0.8421052631578947	City	38	113	100	-1.7570922201189327	-2.17586262283987	-1.7037857805771293	5727	0.7905223697722562	0.9321516581051504	0.8790575536507589	0.2021979161266912	0	0	1	0
		3	City (large)	-7.0	-9.0	44.0	24.0	0.073	0.181	-9.0	-7.0																0.0	0.0	299.0	Yes	20.0		0.9691629955947136	5.0	1.3171806167400881	City	91	94	83	-2.1886066272797677	-2.148507737423593	-2.134455177591623	12818	0.7961771480166986	0.8373494868115504	0.7909373698712207		0	0	1	0
